 EV3 항속형 2WD 17인치(nC),기아,전기,5.4,5.9,4.8,501,964444,2등급,NULL,2024,
" 카니발(KA4 PE) 2.2디젤 하이리무진 9인 18/19""",기아,경유,11.7,10.4,13.7,NULL,1948769,3등급,2151,2024,
" 카니발(KA4 PE) HEV 1.6T-GDI 하이리무진 9인 18/19""",기아,휘발유,13,13.8,12.1,NULL,1841515,3등급,1598,2024,
EV3 기본형 2WD 17인치,기아,전기,5.2,5.6,4.7,350,1001538,2등급,NULL,2024,2024 기아 EV3
EV3 기본형 2WD 19인치,기아,전기,5.2,5.6,4.7,347,1001538,2등급,NULL,2024,2024 기아 EV3
EV3 항속형 2WD 17인치(C),기아,전기,5.4,5.9,4.8,500,964444,2등급,NULL,2024,2024 기아 EV3
EV3 항속형 2WD 19인치,기아,전기,5.1,5.5,4.6,478,1021176,2등급,NULL,2024,2024 기아 EV3
EV6 GT,기아,전기,3.9,4.2,3.6,342,1335385,4등급,NULL,2023,
EV6 기본형 4WD 19인치,기아,전기,5.3,6,4.7,351,982642,2등급,NULL,2021,2021 기아 EV6
EV6 기본형 RWD 19인치,기아,전기,5.6,6.4,4.9,370,930000,2등급,NULL,2021,2021 기아 EV6
EV6 항속형 2WD 개조차 19인치(C),기아,전기,5.2,5.8,4.5,492,1001538,2등급,NULL,2024,
EV6 항속형 2WD 개조차 19인치(nC),기아,전기,5.2,5.8,4.5,494,1001538,2등급,NULL,2024,
EV6 항속형 2WD 개조차 20인치,기아,전기,4.9,5.5,4.3,456,1062857,3등급,NULL,2024,
EV6 항속형 4WD 19인치,기아,전기,5,5.6,4.5,441,1041600,2등급,NULL,2021,2021 기아 EV6
EV6 항속형 4WD 20인치,기아,전기,4.6,5.1,4,403,1132174,3등급,NULL,2021,2021 기아 EV6
EV6 항속형 4WD 개조차 19인치,기아,전기,4.9,5.3,4.4,461,1062857,3등급,NULL,2024,
EV6 항속형 4WD 개조차 20인치,기아,전기,4.6,4.9,4.2,432,1132174,3등급,NULL,2024,
EV6 항속형 RWD 19인치(빌트인캠미적용),기아,전기,5.4,6.1,4.7,475,964444,2등급,NULL,2021,2021 기아 EV6
EV6 항속형 RWD 19인치(빌트인캠적용),기아,전기,5.3,6,4.7,470,982642,2등급,NULL,2021,2021 기아 EV6
EV6 항속형 RWD 20인치,기아,전기,4.9,5.5,4.4,434,1062857,3등급,NULL,2021,2021 기아 EV6
EV9 2WD 19인치 6인,기아,전기,4.2,4.7,3.6,501,1240000,3등급,NULL,2023,2023 기아 EV9
EV9 2WD 19인치 6인 (25MY),기아,전기,4.2,4.7,3.6,501,1240000,3등급,NULL,2024,
EV9 2WD 19인치 7인,기아,전기,4.2,4.7,3.6,501,1240000,3등급,NULL,2023,2023 기아 EV9
EV9 2WD 19인치 7인 (25MY),기아,전기,4.2,4.7,3.6,501,1240000,3등급,NULL,2024,
EV9 2WD 20인치 6인,기아,전기,4.1,4.6,3.5,480,1270244,4등급,NULL,2023,2023 기아 EV9
EV9 2WD 20인치 6인 (25MY),기아,전기,4.1,4.6,3.5,480,1270244,4등급,NULL,2024,
EV9 2WD 20인치 7인,기아,전기,4.1,4.6,3.5,480,1270244,4등급,NULL,2023,2023 기아 EV9
EV9 2WD 20인치 7인 (25MY),기아,전기,4.1,4.6,3.5,480,1270244,4등급,NULL,2024,
EV9 4WD 19인치 6인,기아,전기,3.8,4.2,3.3,445,1370526,4등급,NULL,2023,2023 기아 EV9
EV9 4WD 19인치 6인 (25MY),기아,전기,3.8,4.2,3.3,445,1370526,4등급,NULL,2024,
EV9 4WD 19인치 7인,기아,전기,3.8,4.2,3.3,445,1370526,4등급,NULL,2023,2023 기아 EV9
EV9 4WD 19인치 7인 (25MY),기아,전기,3.8,4.2,3.3,445,1370526,4등급,NULL,2024,
EV9 4WD 21인치 6인,기아,전기,3.9,4.3,3.4,454,1335385,4등급,NULL,2023,2023 기아 EV9
EV9 4WD 21인치 6인 (25MY),기아,전기,3.9,4.3,3.4,454,1335385,4등급,NULL,2024,
EV9 4WD 21인치 7인,기아,전기,3.9,4.3,3.4,454,1335385,4등급,NULL,2023,2023 기아 EV9
EV9 4WD 21인치 7인 (25MY),기아,전기,3.9,4.3,3.4,454,1335385,4등급,NULL,2024,
EV9 GTL 4WD 21인치 6인,기아,전기,3.8,4.1,3.4,443,1370526,4등급,NULL,2023,2023 기아 EV9
EV9 GTL 4WD 21인치 6인 (25MY),기아,전기,3.8,4.1,3.4,443,1370526,4등급,NULL,2024,
EV9 GTL 4WD 21인치 7인,기아,전기,3.8,4.1,3.4,443,1370526,4등급,NULL,2023,2023 기아 EV9
EV9 GTL 4WD 21인치 7인 (25MY),기아,전기,3.8,4.1,3.4,443,1370526,4등급,NULL,2024,
G70 2.0T-GDI 2WD (18인치 타이어) (15),현대,휘발유,10.7,9.4,12.8,NULL,2237355,4등급,1998,2017,2017 제네시스 G70
G70 2.0T-GDI 2WD (19인치 올시즌타이어) ,현대,휘발유,10.5,9.3,12.5,NULL,2279971,4등급,1998,2017,
G70 2.0T-GDI 2WD (19인치 타이어) (15),현대,휘발유,10.4,9.2,12.4,NULL,2301894,4등급,1998,2017,2017 제네시스 G70
G70 2.0T-GDI 2WD_18인치 타이어_20MY,현대,휘발유,10.7,9.4,12.8,NULL,2237355,4등급,1998,2017,2017 제네시스 G70
